"","Country","Year","co2.vals","obesity.both.vals","obesity.male.vals","obesity.female.vals","gdp.vals"
"1","Albania",1990,1.84084061606394,"9.8","7.9","11.7",2549.473022
"2","Albania",1991,1.25811576501704,"10.1","8.2","12.0",1909.114038
"3","Albania",1992,0.689859284104687,"10.4","8.5","12.2",1823.307673
"4","Albania",1993,0.641405614065312,"10.7","8.8","12.5",2057.449657
"5","Albania",1994,0.667178793940271,"11.0","9.2","12.8",2289.873135
"6","Albania",1995,0.611710203702635,"11.3","9.6","13.1",2665.764906
"7","Albania",1996,0.621836956875134,"11.7","10.0","13.4",2980.066288
"8","Albania",1997,0.470097808931287,"12.0","10.4","13.7",2717.362124
"9","Albania",1998,0.575350084544499,"12.4","10.8","14.0",3021.014738
"10","Albania",1999,0.955359308384195,"12.8","11.2","14.3",3471.652592
"11","Albania",2000,1.026213108529,"13.2","11.7","14.7",3861.334172
"12","Albania",2001,1.0522280929869,"13.6","12.1","15.0",4301.352799
"13","Albania",2002,1.22910118288698,"14.0","12.6","15.4",4661.371553
"14","Albania",2003,1.35214448140818,"14.5","13.2","15.8",4994.518807
"15","Albania",2004,1.41727335767255,"14.9","13.7","16.2",5422.778462
"16","Albania",2005,1.35149180454706,"15.4","14.3","16.6",5865.306196
"17","Albania",2006,1.35336220283257,"16.0","14.9","17.1",6559.783257
"18","Albania",2007,1.42086728796502,"16.5","15.5","17.5",7276.302969
"19","Albania",2008,1.41484755272088,"17.0","16.1","18.0",8228.374239
"20","Albania",2009,1.47565225025013,"17.6","16.8","18.4",8814.810856
"21","Albania",2010,1.57225093811545,"18.2","17.4","18.9",9628.025783
"22","Albania",2011,1.73482330790188,"18.8","18.1","19.4",10207.75235
"23","Albania",2012,1.57909199452076,"19.3","18.8","19.9",10526.23545
"24","Albania",2013,1.65452427763954,"19.9","19.5","20.4",10571.01065
"25","Albania",2014,1.80678854066866,"20.5","20.2","20.8",11259.22589
"26","Albania",2015,1.75998705871449,"21.1","20.9","21.3",11662.03048
"27","Algeria",1990,2.63559677613212,"12.4","6.3","18.1",6683.94251
"28","Algeria",1991,2.53556111202271,"12.8","6.7","18.7",6661.139592
"29","Algeria",1992,2.44780199146599,"13.3","7.0","19.3",6774.465962
"30","Algeria",1993,2.65853539125032,"13.8","7.4","19.9",6640.166811
"31","Algeria",1994,2.53599509204315,"14.3","7.8","20.5",6583.172604
"32","Algeria",1995,2.54018146319181,"14.8","8.2","21.1",6844.639633
"33","Algeria",1996,2.43999820271803,"15.3","8.6","21.7",7129.638422
"34","Algeria",1997,2.44864502480922,"15.8","9.0","22.4",7214.872707
"35","Algeria",1998,2.46880459713011,"16.3","9.4","23.0",7553.946588
"36","Algeria",1999,2.53205015797394,"16.8","9.9","23.6",7797.015071
"37","Algeria",2000,2.53171179217169,"17.4","10.3","24.2",8162.587573
"38","Algeria",2001,2.3773101154148,"17.9","10.8","24.9",8480.070459
"39","Algeria",2002,2.52424179354584,"18.5","11.3","25.5",8981.349267
"40","Algeria",2003,2.59854905872488,"19.1","11.8","26.2",9682.476035
"41","Algeria",2004,2.59664758084302,"19.6","12.3","26.8",10234.9309
"42","Algeria",2005,2.68448722945473,"20.2","12.9","27.5",11022.14747
"43","Algeria",2006,2.78677745883172,"20.8","13.4","28.2",11380.09442
"44","Algeria",2007,2.9420221444239,"21.4","14.0","28.8",11897.10382
"45","Algeria",2008,2.9941892170951,"22.0","14.6","29.5",12218.04739
"46","Algeria",2009,3.19155421416758,"22.7","15.2","30.2",12294.61249
"47","Algeria",2010,3.14474752533191,"23.3","15.8","30.9",12655.13741
"48","Algeria",2011,3.22245952272794,"24.0","16.5","31.5",13046.12851
"49","Algeria",2012,3.38755462612394,"24.7","17.1","32.2",13482.72112
"50","Algeria",2013,3.40612323474996,"25.3","17.8","32.9",13823.82823
"51","Algeria",2014,3.56620883406526,"26.0","18.5","33.6",14326.28301
"52","Algeria",2015,3.6742329469226,"26.7","19.2","34.2",14711.22085
"53","Armenia",1990,5.61025435790992,"11.4","8.2","14.1",2428.55896
"54","Armenia",1991,5.90257639328904,"11.7","8.5","14.4",2237.752728
"55","Armenia",1992,3.1631046641997,"12.0","8.8","14.6",1356.210786
"56","Armenia",1993,1.49861244544114,"12.3","9.0","14.9",1296.178498
"57","Armenia",1994,0.834433730125859,"12.5","9.3","15.2",1429.102386
"58","Armenia",1995,1.0909602905995,"12.8","9.5","15.4",1591.894846
"59","Armenia",1996,0.811182833982437,"13.1","9.8","15.7",1742.734114
"60","Armenia",1997,1.0660432973166,"13.3","10.1","15.9",1852.200102
